id,Tweets about Luke,Tweets about Rey,"Number of ""!"""
940754923431526400,False,False,2
940754921774829569,False,False,0
940754920554233857,False,False,1
940754904368451584,False,False,0
940754898752241664,False,False,1
940754897049354240,False,False,0
940754895916986368,False,False,0
940754892272095234,False,False,1
940754883384406016,False,False,0
940754875692077056,False,False,6
940754866481324032,False,False,4
940754862547054592,False,False,1
940754859741122561,False,False,1
940754855622258689,False,False,0
940754855043284992,False,False,0
940754853063811074,False,False,0
940754846445195264,False,False,0
940754842557001728,False,False,0
940754838773731328,False,False,0
940754826765438977,False,False,0
940754826392195072,False,False,0
940754816904527872,False,False,1
940754816841723905,False,False,0
940754810349015040,False,False,0
940754802606141440,False,False,1
940754797883510785,False,False,0
940754796713299968,False,False,0
940754796042125313,False,False,0
940754794322333697,False,False,1
940754792250568704,False,False,1
940754788177842176,False,False,1
940754788022710272,False,False,2
940754786013663232,False,False,0
940754779848036352,False,False,0
940754775317942272,False,False,0
940754771056742400,False,False,0
940754769878179840,False,False,3
940754762760376320,False,False,0
940754756338937856,False,False,1
940754752891011072,False,False,0
940754748046704640,False,False,0
940754746306113536,False,False,0
940754744661954560,False,False,1
940754742631903232,False,False,0
940754733689720832,False,False,0
940754729247928320,False,False,0
940754724546076672,False,False,0
940754711384395776,False,False,1
940754705013026816,False,False,6
940754702052020224,False,False,1
940754697601691649,False,False,0
940754693818642433,False,False,1
940754693055307779,False,False,1
940754684591181825,False,False,2
940754674789036033,False,False,0
940754670599004160,False,False,0
940754667939729408,False,False,1
940754667855908864,False,False,0
940754667734274050,False,False,0
940754652966072320,False,False,0
940754646900994048,False,False,0
940754638969729025,False,False,0
940754636276948993,False,False,1
940754634322448384,False,False,0
940754634209136640,False,False,0
940754628194562048,False,False,0
940754615179665408,False,False,1
940754607629881346,False,False,0
940754604396105728,False,False,0
940754601254572034,False,False,0
940754600822525955,False,False,1
940754594090463232,False,False,1
940754587098800129,False,False,2
940754580450762752,False,False,1
940754580140445699,False,False,1
940754578290683905,False,False,0
940754577569341440,False,False,1
940754570933948417,False,False,0
940754562457235456,False,False,0
940754559068246020,False,False,1
940754558183075840,False,False,0
940754556920778752,False,False,0
940754547038932998,False,False,1
940754546820861952,False,False,0
940754543964549120,False,False,0
940754543800877058,False,False,0
940754537996046336,False,False,1
940754537111085057,False,False,0
940754532727951361,False,False,0
940754531109007360,False,False,1
940754530672635904,False,False,6
940754521961066496,False,False,1
940754518433779713,False,False,1
940754518144438272,False,False,0
940754517427138560,False,False,1
940754517053857792,False,False,2
940754495335747586,False,False,0
940754493481811970,False,False,1
940754493192458240,False,False,0
940754492768825350,False,False,0
940754492353630208,False,False,0
940754490965315584,False,False,2
940754489207934976,False,False,0
940754486578040834,False,False,0
940754483092574208,False,False,0
940754480282431488,False,False,1
940754478860468230,False,False,1
940754473382809600,False,False,0
940754470337761280,False,False,0
940754470140612609,False,False,0
940754464604086272,False,False,3
940754459373785088,False,False,0
940754458631397376,False,False,1
940754456785948672,False,False,0
940754454810329088,False,False,0
940754446916685824,False,False,1
940754445058658311,False,False,0
940754443917840384,False,False,1
940754442802073600,False,False,0
940754439530582016,False,False,0
940754439081725954,False,False,0
940754433398407168,False,False,6
940754431884263424,False,False,0
940754426649817089,False,False,0
940754420962332672,False,False,0
940754408425615362,False,False,2
940754406911500293,False,False,0
940754403379810311,False,False,0
940754400703807489,False,False,1
940754391673524225,False,False,0
940754387022090242,False,False,1
940754380814471168,False,False,1
940754378117533696,False,False,1
940754375491903490,False,False,1
940754374510432256,False,False,0
940754371658309632,False,False,1
940754359457116161,False,False,1
940754358404374530,False,False,0
940754353899671554,False,False,1
940754351248822274,False,False,0
940754347163570176,False,False,0
940754345506889734,False,False,1
940754335528562689,False,False,0
940754317157588992,False,False,0
940754314229936128,False,False,0
940754311830802433,False,False,0
940754304431947776,False,False,1
940754303073116160,False,False,0
940754301072363521,False,False,0
940754296433467392,False,False,0
940754295284162560,False,False,0
940754295053537280,False,False,1
940754289915518982,False,False,1
940754285268103169,False,False,1
940754283200475136,False,False,1
940754280939708417,False,False,0
940754277437444096,False,False,0
940754275751399424,False,False,1
940754275390631937,False,False,0
940754270881755136,False,False,0
940754270248456192,False,False,1
940754267849228289,False,False,1
940754266813292546,False,False,0
940754258781126657,False,False,0
940754254997856256,False,False,0
940754253466959873,False,False,1
940754247548747776,False,False,0
940754240259198979,False,False,1
940754231010750464,False,False,1
940754219753181184,False,False,0
940754218306154496,False,False,0
940754214959099909,False,False,0
940754209837912065,False,False,1
940754194180567045,False,False,0
940754190141411328,False,False,0
940754187406671872,False,False,1
940754186781704193,False,False,1
940754182851694593,False,False,1
940754173078929408,False,False,8
940754170310688768,False,False,0
940754167282352128,False,False,1
940754162312196099,False,False,0
940754160315785216,False,False,1
940754158289936384,False,False,0
940754138039758848,False,False,0
940754133556039687,False,False,1
940754132519895040,False,False,0
940754131748343809,False,False,1
940754124844486656,False,False,1
940754116158124038,False,False,3
940754116078383106,False,False,1
940754110315466752,False,False,2
940754110172876800,False,False,0
940754109153599488,False,False,0
940754104191766528,False,True,0
940754090899931136,False,False,0
940754086504394752,False,False,0
940754083010482178,False,False,3
940754078174412800,False,False,0
940754071149072384,False,False,2
940754070410874882,False,False,1
940754060893982720,False,False,0
940754056695468033,False,False,1
940754046188744704,False,False,0
940754040715059200,False,False,0
940754035191238656,False,False,0
940754032972451843,False,False,1
940754028794753024,False,True,0
940754025640755201,False,False,0
940754023434653696,False,False,0
940754021358489600,False,False,0
940754018116218881,False,False,0
940754015637458944,False,False,0
940754011417964544,False,False,1
940754011266961413,False,False,0
940754007403921409,False,False,1
940753998449119232,False,False,0
940753998289698816,False,False,1
940753992719749121,False,False,1
940753986466058241,False,False,0
940753981927821314,False,False,0
940753981357346817,False,False,1
940753979159478272,False,False,1
940753976961785856,False,False,0
940753975539879936,False,False,0
940753970989060096,False,False,0
940753970041012224,False,False,0
940753962541764613,False,False,0
940753960528498688,False,False,1
940753959924502528,False,False,0
940753955042316288,False,False,0
940753940962004992,False,False,0
940753938604797952,False,False,0
940753938546016256,False,False,1
940753930132258816,False,False,0
940753929788428288,False,False,0
940753920971984896,False,False,1
940753918320971776,False,False,1
940753916953755649,False,False,0
940753914261069824,False,False,0
940753908921782272,False,False,1
940753908359745536,False,False,1
940753907424342018,False,False,0
940753897341067264,False,False,0
940753892656144384,False,False,1
940753889346891776,False,False,1
940753884993253378,False,False,1
940753881230921729,False,False,1
940753876759793664,False,False,1
940753876734668802,False,False,1
940753876638162944,False,False,0
940753876516593664,False,False,0
940753871651078145,False,False,0
940753871214993408,False,False,0
940753869021294593,False,False,1
940753865053483008,False,False,0
940753864269197313,False,False,1
940753861085728769,False,False,0
940753858019676161,False,False,0
940753854374797313,False,False,0
940753852894269442,False,False,0
940753848574136321,False,False,0
940753842727260160,False,False,0
940753835655663616,False,False,0
940753824393957378,False,False,0
940753822254882818,False,False,1
940753816906956800,False,False,0
940753809181200384,False,False,0
940753807314624513,False,False,1
940753805523673089,False,False,1
940753801103003650,False,False,0
940753800935235585,False,False,1
940753794442424322,False,False,0
940753792810864640,False,False,0
940753785714102273,False,False,0
940753780131356672,False,False,1
940753779653148673,False,False,1
940753777392578560,False,False,1
940753775173816320,False,False,1
940753774431305728,False,False,1
940753770719391744,False,False,2
940753765124145152,False,False,0
940753764864155648,False,False,4
940753758488850433,False,False,0
940753757368971265,False,True,0
940753756274049024,False,False,0
940753751975059456,False,False,1
940753751199055872,False,False,1
940753747193532416,False,False,0
940753744899256320,False,False,0
940753734723923968,False,False,0
940753729376149504,False,False,1
940753729204244483,False,False,1
940753726373007360,False,False,0
940753722006753283,False,False,1
940753708404629504,False,False,0
940753697398718464,False,False,0
940753695955972096,False,False,0
940753690683523072,False,False,0
940753689039527936,False,False,1
940753689005916160,False,False,1
940753688406216704,False,False,0
940753681980502016,False,False,1
940753669175369729,False,False,1
940753666692304896,False,False,0
940753660727918592,False,False,0
940753659624853504,False,False,0
940753659503284225,False,False,0
940753655778639872,False,False,1
940753652746260481,False,False,0
940753652029034496,False,False,1
940753643824873473,False,False,0
940753640561827841,False,False,0
940753636359057408,False,False,0
940753634844991489,False,False,1
940753627605618688,False,False,0
940753626808455169,False,False,0
940753615068827648,False,False,0
940753606613053440,False,False,1
940753593677877248,False,False,0
940753591077281792,False,False,1
940753578041462784,False,False,0
940753568453353472,False,False,0
940753564837740544,False,False,0
940753564313546752,False,False,1
940753564254855169,False,False,0
940753563453677571,False,False,0
940753560379125760,False,False,1
940753557497827328,False,False,0
940753557032140801,False,False,0
940753545057521666,False,False,2
940753544709398530,False,False,1
940753544218578944,False,False,2
940753543396577282,False,False,0
940753543232872448,False,False,0
940753540666085376,False,False,0
940753537960615936,False,False,0
940753533397295104,False,False,2
940753532717805569,False,False,0
940753528829759489,False,False,0
940753527659552769,False,False,0
940753527353364482,False,False,1
940753526086565889,False,False,1
940753510638997504,False,False,5
940753498668523520,False,False,1
940753491252916224,False,False,2
940753489612881920,False,False,0
940753484890169346,False,False,1
940753483556409344,False,False,1
940753482646253568,False,False,1
940753463377612800,False,False,2
940753462358405120,False,False,0
940753460529688576,False,False,0
940753455785881601,False,False,1
940753448152305664,False,False,0
940753428984291330,False,False,0
940753426526371840,False,False,1
940753422755811329,False,False,4
940753422676094976,False,False,2
940753422298558464,False,False,1
940753416128745472,False,False,0
940753413637275648,False,False,1
940753411439554560,False,False,0
940753405055782912,False,False,0
940753402933534720,False,False,0
940753401071263745,False,False,0
940753399569457152,False,False,0
940753397094871040,False,False,0
940753397002702848,False,False,1
940753393420816384,False,False,2
940753392984625153,False,False,0
940753386827284481,False,False,1
940753381785767937,False,False,0
940753378442870784,False,False,0
940753378145161216,False,False,0
940753373451649025,False,False,0
940753373195849728,False,False,0
940753371228770304,False,False,0
940753367667806209,False,False,1
940753365964918784,False,False,2
940753359438602242,False,False,0
940753358972968960,False,False,1
940753357303578624,False,False,0
940753340673282048,False,False,0
940753339930890244,False,False,0
940753338471247872,False,False,0
940753334016856064,False,False,1
940753331210866690,False,False,1
940753328073519104,False,False,2
940753318544015365,False,False,0
940753314978914304,False,False,0
940753312177098754,False,False,0
940753305558507520,False,False,0
940753303050350592,False,False,0
940753302345658368,False,False,1
940753299267047424,False,False,0
940753293676072960,False,False,1
940753287011356672,False,False,1
940753286747049984,False,False,0
940753284490498048,False,False,0
940753282992971776,False,False,1
940753270494187520,False,False,1
940753270154416128,False,False,1
940753268782850049,False,False,0
940753266937298945,False,False,0
940753262789226496,False,False,0
940753262751477761,False,False,0
940753258666225664,False,False,1
940753254337609728,False,False,0
940753253041623040,False,False,1
940753249795231744,False,False,3
940753241943560193,False,False,0
940753236973293568,False,False,0
940753233219375105,False,False,0
940753228538482689,False,False,0
940753220783177729,False,False,0
940753213187293185,False,False,1
940753212566589441,False,False,0
940753211647864833,False,False,0
940753211249643520,False,False,0
940753199430098944,False,False,0
940753195546144773,False,False,0
940753195000913921,False,False,1
940753192131772417,False,False,0
940753183592321024,False,False,1
940753180010442752,False,False,1
940753179335168003,False,False,0
940753175044415489,False,False,2
940753165233860608,False,False,0
940753161479966720,False,False,0
940753160892747778,False,False,2
940753160448200705,False,False,0
940753157206020097,False,False,0
940753157172420609,False,False,0
940753153095475200,False,False,0
940753148909703168,False,False,2
940753144463716352,False,False,0
940753143985565696,False,False,1
940753139803836416,False,False,0
940753128642760704,False,False,1
940753128458141696,False,False,1
940753124943368193,False,False,0
940753122342981633,False,False,1
940753118140272640,False,False,1
940753111475478528,False,False,0
940753096979959808,False,False,0
940753096237633542,False,False,1
940753096128462848,False,False,0
940753095558123520,False,False,0
940753082010488832,False,False,0
940753081410768897,False,False,0
940753080584253441,False,False,0
940753077107351552,False,False,2
940753071013056512,False,False,0
940753069415034880,False,False,0
940753064180400128,False,False,1
940753061361913869,False,False,2
940753055825518592,False,False,0
940753042982539265,False,False,0
940753039861993472,False,False,1
940753023978147840,False,False,2
940753023973904385,False,False,1
940753021813784576,False,False,0
940753016273231872,False,True,0
940753009243512835,False,False,0
940753008643706880,False,False,4
940753004889825280,False,False,1
940753003107233792,False,False,0
940753002507440129,False,False,1
940753000762609666,False,False,0
940752999986720769,False,False,1
940752995586854912,True,False,0
940752993368068097,False,False,0
940752992168501248,False,False,0
940752987668074497,False,False,1
940752986015399936,False,False,1
940752982987112448,False,False,1
940752967497523200,False,False,0
940752957968183297,False,False,0
940752955929743360,False,False,1
940752951777353728,False,False,0
940752949596315648,False,False,0
940752947138519046,False,False,1
940752943065726976,False,False,1
940752940784111621,False,False,5
940752939790098433,False,False,0
940752937428701184,False,False,0
940752937357332482,False,False,0
940752923306463232,False,False,1
940752918394925056,False,False,1
940752915899305984,False,False,1
940752913361784833,False,False,1
940752902037164032,False,False,0
940752894948765698,False,False,0
940752894705520642,False,False,1
940752893988298754,False,False,0
940752892688060417,False,False,2
940752888179118080,False,False,2
940752885306052608,False,False,1
940752884869758976,False,False,0
940752878792298496,False,False,0
940752877114576896,False,False,1
940752874224709632,False,False,1
940752873876574208,False,False,0
